building,mode,seed,target_name,target_family,horizon_hours,n_dynamic_features,n_train_seq,n_fit_val_seq,n_test_seq,status,rmse,mae,r2,wape_pct,mape_pct,baseline_wape_pct,baseline_mape_pct,delta_wape_vs_baseline,delta_mape_vs_baseline,epochs_ran,datetime_test_start,datetime_test_end
U06,M0,42,target_point_h1,point,1,8,15364,1536,8206,ok,8.308415606928973,4.917404651641846,0.9792483448982239,8.37148666381836,4449469.5,5.80132016779218,666212.8169065341,2.5701664960261796,3783256.683093466,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M0,52,target_point_h1,point,1,8,15364,1536,8206,ok,8.378217392283592,4.987355709075928,0.9788981676101685,8.490572929382324,2621159.25,5.80132016779218,666212.8169065341,2.6892527615901445,1954946.4330934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M0,62,target_point_h1,point,1,8,15364,1536,8206,ok,9.216329379633017,5.212777614593506,0.9744651913642883,8.874335289001465,2494966.5,5.80132016779218,666212.8169065341,3.073015121209285,1828753.6830934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M1,42,target_point_h1,point,1,9,15364,1536,8206,ok,8.829735317043369,5.049527645111084,0.9765624403953552,8.596415519714355,2514468.25,5.80132016779218,666212.8169065341,2.7950953519221757,1848255.4330934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M1,52,target_point_h1,point,1,9,15364,1536,8206,ok,8.472761604635432,4.997189998626709,0.9784192442893982,8.507314682006836,3733152.75,5.80132016779218,666212.8169065341,2.705994514214656,3066939.933093466,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M1,62,target_point_h1,point,1,9,15364,1536,8206,ok,8.468879276429112,5.000328063964844,0.9784390330314636,8.512657165527344,3745193.25,5.80132016779218,666212.8169065341,2.711336997735164,3078980.433093466,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M2,42,target_point_h1,point,1,14,15364,1536,8206,ok,9.710217032555757,5.604078769683838,0.9716551303863525,9.540493965148926,1469910.0,5.80132016779218,666212.8169065341,3.739173797356746,803697.1830934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M2,52,target_point_h1,point,1,14,15364,1536,8206,ok,9.047494396029842,5.368192195892334,0.9753921627998352,9.138916015625,1469557.875,5.80132016779218,666212.8169065341,3.3375958478328203,803345.0580934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M2,62,target_point_h1,point,1,14,15364,1536,8206,ok,9.481973510576447,5.513418674468994,0.9729719758033752,9.386152267456055,1341149.375,5.80132016779218,666212.8169065341,3.584832099663875,674936.5580934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
U06,M3,42,target_point_h1,point,1,15,15364,1536,8206,ok,9.674291650829662,5.51171875,0.9718644618988037,9.383258819580078,1507518.875,5.80132016779218,666212.8169065341,3.5819386517878984,841306.0580934659,35,2024-01-02 02:00:00,2024-12-30 18:00:00
